question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall,context_entity_recall,context_relevancy,answer_similarity,answer_correctness,,,,,,,,,
What techniques were used by the Sandworm Team in the 2022 Ukraine Electric Power Attack?,"<b>The Sandworm Team employed a variety of techniques during the 2022 Ukraine Electric Power Attack, including the use of malware, specifically the Industroyer2 malware, which is designed to target industrial control systems. They also utilized tactics such as spear-phishing to gain initial access, and they executed a coordinated attack that involved disrupting power supply and causing outages. Additionally, the team leveraged advanced persistent threat (APT) strategies to maintain access and control over the targeted systems.</b>","[""['The Sandworm Team employed a variety of techniques during the 2022 Ukraine Electric Power Attack', 'including the use of malware', 'specifically the Industroyer2 malware', 'which is designed to target industrial control systems. They also utilized tactics such as spear-phishing to gain initial access', 'and they executed a coordinated attack that involved disrupting power supply and causing outages. Additionally', 'the team leveraged advanced persistent threat (APT) strategies to maintain access and control over the targeted systems.']""]","GOGETTER, Neo-REGEORG, CaddyWiper, and living off the land (LotL) techniques",1,0.994843916488894,0.9999999999,0,0,1,0.774575828940784,0.193643957235196,,,,,,,,,
Which publication provides details about the 2022 Ukraine Electric Power Attack?,"<b>The publication that provides details about the 2022 Ukraine Electric Power Attack is the ""2022 Cybersecurity Annual Report.""</b>","['[\'The publication that provides details about the 2022 Ukraine Electric Power Attack is the ""2022 Cybersecurity Annual Report.""\']']",Dragos-Sandworm-Ukraine-2022,1,0.999203159687471,0.9999999999,0,0,1,0.814631775142693,0.203657943785673,,,,,,,,,
What is the MITRE external ID for the 2022 Ukraine Electric Power Attack?,<b>The MITRE external ID for the 2022 Ukraine Electric Power Attack is T1499.</b>,"[""['The MITRE external ID for the 2022 Ukraine Electric Power Attack is T1499.']""]",C0034,1,1,0,0,0,1,0.763842231661399,0.190960557915349,,,,,,,,,
What mitigation involves restricting code execution to a virtual environment on an endpoint?,<b>The mitigation that involves restricting code execution to a virtual environment on an endpoint is known as application sandboxing.</b>,"[""['The mitigation that involves restricting code execution to a virtual environment on an endpoint is known as application sandboxing.']""]",Application Isolation and Sandboxing,1,0.96973157177192,0.9999999999,0,0,1,0.877101749283369,0.719275437320842,,,,,,,,,
What is the MITRE external ID for Application Isolation and Sandboxing?,<b>The MITRE external ID for Application Isolation and Sandboxing is T1171.</b>,"[""['The MITRE external ID for Application Isolation and Sandboxing is T1171.']""]",M0948,1,0.999999999999999,0,0,0,1,0.78452286031782,0.196124600454139,,,,,,,,,
Which guideline is associated with the mitigation strategy of Application Isolation and Sandboxing?,<b>The guideline associated with the mitigation strategy of Application Isolation and Sandboxing is NIST SP 800-53.</b>,"[""['The guideline associated with the mitigation strategy of Application Isolation and Sandboxing is NIST SP 800-53.']""]",IEC 62443-3-3:2013 - SR 5.4,1,0.987342336382238,0,0,0,1,0.774474253967039,0.193618563491759,,,,,,,,,
What is the purpose of filtering network traffic according to MITRE?,"<b>The purpose of filtering network traffic is to enhance security by controlling the flow of data into and out of a network. This process helps to prevent unauthorized access, detect malicious activities, and ensure that only legitimate traffic is allowed, thereby protecting sensitive information and maintaining the integrity of the network.</b>","[""['The purpose of filtering network traffic is to enhance security by controlling the flow of data into and out of a network. This process helps to prevent unauthorized access', 'detect malicious activities', 'and ensure that only legitimate traffic is allowed', 'thereby protecting sensitive information and maintaining the integrity of the network.']""]",To use network appliances to filter ingress or egress traffic and perform protocol-based filtering,1,0.930120337549376,0.9999999999,1,0,1,0.848944875096496,0.868486218774124,,,,,,,,,
What is the MITRE external ID for the 'Filter Network Traffic' course of action?,<b>The MITRE external ID for the 'Filter Network Traffic' course of action is T1040.</b>,"['[""The MITRE external ID for the \'Filter Network Traffic\' course of action is T1040.""]']",M0937,1,1,0,0,0,1,0.787921780838539,0.196980445209634,,,,,,,,,
What document provides guidelines on firewall deployment for SCADA and process control networks?,"<b>The document that provides guidelines on firewall deployment for SCADA and process control networks is the ""NIST Special Publication 800-82.""</b>","['[\'The document that provides guidelines on firewall deployment for SCADA and process control networks is the ""NIST Special Publication 800-82.""\']']",Centre for the Protection of National Infrastructure February 2005,1,0.999998821294819,0.9999999999,0,0,1,0.805638460592973,0.701374682119861,,,,,,,,,
What is the focus of the 'Restrict Web-Based Content' course of action?,"<b>The focus of the 'Restrict Web-Based Content' course of action is to limit access to certain online materials and resources. This may involve implementing measures to block or filter specific websites, applications, or types of content that are deemed inappropriate or harmful. The goal is to create a safer and more controlled online environment, particularly in settings such as schools or workplaces.</b>","['[""The focus of the \'Restrict Web-Based Content\' course of action is to limit access to certain online materials and resources. This may involve implementing measures to block or filter specific websites"", \'applications\', \'or types of content that are deemed inappropriate or harmful. The goal is to create a safer and more controlled online environment\', \'particularly in settings such as schools or workplaces.\']']","Restricting the use of certain websites, blocking downloads/attachments, blocking Javascript, and restricting browser extensions",1,1,0.9999999999,1,0.1999999996,1,0.860847472631452,0.21520000944126,,,,,,,,,
What is the MITRE external ID for 'Restrict Web-Based Content'?,<b>The MITRE external ID for 'Restrict Web-Based Content' is M1027.</b>,"['[""The MITRE external ID for \'Restrict Web-Based Content\' is M1027.""]']",M0921,1,0.999998864764312,0,0,0,1,0.780951168011975,0.195231421302636,,,,,,,,,
Which guideline is associated with validating program inputs?,"<b>The guideline associated with validating program inputs is the ""Input Validation"" guideline.</b>","['[\'The guideline associated with validating program inputs is the ""Input Validation"" guideline.\']']",IEC 62443-3-3:2013 - SR 3.5,1,0.985089378710063,0.9999999999,1,0,1,0.76064015349484,0.19016003837371,,,,,,,,,
What is the purpose of validating program inputs?,"<b>The purpose of validating program inputs is to ensure that the data received by a program is accurate, complete, and in the expected format. This process helps to prevent errors, security vulnerabilities, and unexpected behavior in the program by filtering out invalid or malicious data before it is processed. Validating inputs contributes to the overall reliability and robustness of the software.</b>","[""['The purpose of validating program inputs is to ensure that the data received by a program is accurate', 'complete', 'and in the expected format. This process helps to prevent errors', 'security vulnerabilities', 'and unexpected behavior in the program by filtering out invalid or malicious data before it is processed. Validating inputs contributes to the overall reliability and robustness of the software.']""]",To ensure the format and content of all user inputs and actions are within intended operational ranges,0.875,0.962146929909302,0.9999999999,1,0,1,0.844575309505607,0.211143827376401,,,,,,,,,
What publication provides details about secure PLC coding practices?,"<b>The publication that provides details about secure PLC coding practices is ""ISA/IEC 62443-4-2.""</b>","['[\'The publication that provides details about secure PLC coding practices is ""ISA/IEC 62443-4-2.""\']']",PLCTop20 Mar 2023,1,0.999999999999999,0.9999999999,0,0,1,0.756395375232062,0.189098843808015,,,,,,,,,
What is the purpose of network segmentation in ICS environments?,"<b>The purpose of network segmentation in Industrial Control System (ICS) environments is to enhance security and manageability by dividing the network into smaller, isolated segments. This approach helps to limit the spread of potential cyber threats, reduces the attack surface, and allows for more effective monitoring and control of network traffic. Additionally, segmentation can improve system performance and compliance with regulatory requirements by ensuring that critical systems are protected and that access is restricted to authorized users only.</b>","[""['The purpose of network segmentation in Industrial Control System (ICS) environments is to enhance security and manageability by dividing the network into smaller', 'isolated segments. This approach helps to limit the spread of potential cyber threats', 'reduces the attack surface', 'and allows for more effective monitoring and control of network traffic. Additionally', 'segmentation can improve system performance and compliance with regulatory requirements by ensuring that critical systems are protected and that access is restricted to authorized users only.']""]","To isolate critical systems, functions, or resources to prevent access to sensitive systems and information",1,0.955884795171861,0.9999999999,1,0.166666666388888,1,0.822282769570189,0.776999263821118,,,,,,,,,
What is the MITRE external ID for 'Network Segmentation'?,<b>The MITRE external ID for 'Network Segmentation' is M1030.</b>,"['[""The MITRE external ID for \'Network Segmentation\' is M1030.""]']",M0930,1,1,0,0,0,1,0.791311028742046,0.947827757185511,,,,,,,,,
Which guideline is associated with the course of action for Network Segmentation?,<b>The guideline associated with the course of action for Network Segmentation is NIST SP 800-53.</b>,"[""['The guideline associated with the course of action for Network Segmentation is NIST SP 800-53.']""]",IEC 62443-3-3:2013 - SR 5.1,1,0.985683920022231,0,0,0,1,0.78266349472318,0.195641114984644,,,,,,,,,
What mitigation involves restricting the ability to modify certain hives or keys in the Windows Registry?,"<b>The mitigation that involves restricting the ability to modify certain hives or keys in the Windows Registry is known as ""Registry Permissions."" This approach helps to prevent unauthorized changes to critical system settings and enhances overall security by controlling access to specific areas of the registry.</b>","['[\'The mitigation that involves restricting the ability to modify certain hives or keys in the Windows Registry is known as ""Registry Permissions."" This approach helps to prevent unauthorized changes to critical system settings and enhances overall security by controlling access to specific areas of the registry.\']']",Restrict Registry Permissions,1,0.981509023370688,0.9999999999,1,0.99999999,0.5,0.858804716678818,0.214701179169704,,,,,,,,,
What is the MITRE external ID for 'Restrict Registry Permissions'?,<b>The MITRE external ID for 'Restrict Registry Permissions' is T1070.</b>,"['[""The MITRE external ID for \'Restrict Registry Permissions\' is T1070.""]']",M0924,1,0.999998160985535,0,0,0,1,0.778554771159899,0.194638692789974,,,,,,,,,
Which guideline is associated with Restrict Registry Permissions?,"<b>The guideline associated with Restrict Registry Permissions is the ""Access Control"" guideline.</b>","['[\'The guideline associated with Restrict Registry Permissions is the ""Access Control"" guideline.\']']",IEC 62443-3-3:2013 - SR 2.1,1,0.993442327132298,0.9999999999,1,0,1,0.727708291211275,0.181921187597899,,,,,,,,,
What is Data Loss Prevention (DLP) used for in ICS environments?,"<b>Data Loss Prevention (DLP) in Industrial Control Systems (ICS) environments is used to protect sensitive data from unauthorized access, loss, or leakage. It helps ensure the integrity and confidentiality of critical information by monitoring and controlling data transfers, both within the organization and externally. DLP solutions can identify, classify, and manage sensitive data, thereby mitigating risks associated with data breaches and ensuring compliance with regulatory requirements.</b>","[""['Data Loss Prevention (DLP) in Industrial Control Systems (ICS) environments is used to protect sensitive data from unauthorized access', 'loss', 'or leakage. It helps ensure the integrity and confidentiality of critical information by monitoring and controlling data transfers', 'both within the organization and externally. DLP solutions can identify', 'classify', 'and manage sensitive data', 'thereby mitigating risks associated with data breaches and ensuring compliance with regulatory requirements.']""]","To help identify adversarial attempts to exfiltrate operational information such as engineering plans, trade secrets, recipes, or process telemetry",1,0.95100330470806,0.9999999999,0.666666666666666,0,1,0.808947474325103,0.202236868581275,,,,,,,,,
What is the MITRE external ID for 'Data Loss Prevention'?,<b>The MITRE external ID for 'Data Loss Prevention' is DLP-1.</b>,"['[""The MITRE external ID for \'Data Loss Prevention\' is DLP-1.""]']",M0803,1,0.999999999999999,0,0,0,1,0.76389551648712,0.19097387912178,,,,,,,,,
What is the role of Access Management technologies in ICS environments?,"<b>Access Management technologies in Industrial Control System (ICS) environments play a crucial role in ensuring that only authorized personnel can access critical systems and data. They help in defining and enforcing user permissions, managing identities, and controlling access to various components of the ICS. This is essential for maintaining the integrity, confidentiality, and availability of the systems, as well as for protecting against unauthorized access and potential cyber threats. By implementing robust access management practices, organizations can enhance their security posture and ensure compliance with regulatory requirements.</b>","[""['Access Management technologies in Industrial Control System (ICS) environments play a crucial role in ensuring that only authorized personnel can access critical systems and data. They help in defining and enforcing user permissions', 'managing identities', 'and controlling access to various components of the ICS. This is essential for maintaining the integrity', 'confidentiality', 'and availability of the systems', 'as well as for protecting against unauthorized access and potential cyber threats. By implementing robust access management practices', 'organizations can enhance their security posture and ensure compliance with regulatory requirements.']""]","To enforce authorization policies and decisions, especially when field devices do not provide sufficient capabilities to support user identification and authentication",1,0.951786856804704,0.9999999999,1,0,1,0.821556637413667,0.872055826020083,,,,,,,,,
What is the MITRE external ID for 'Access Management'?,<b>The MITRE external ID for 'Access Management' is not provided in the available information.</b>,"['[""The MITRE external ID for \'Access Management\' is not provided in the available information.""]']",M0801,1,0,0,1,0,1,0.770755860790604,0.192688965197651,,,,,,,,,
Which document provides guidelines on configuring and managing remote access for industrial control systems?,<b>The document that provides guidelines on configuring and managing remote access for industrial control systems is NIST SP 800-82.</b>,"[""['The document that provides guidelines on configuring and managing remote access for industrial control systems is NIST SP 800-82.']""]",Centre for the Protection of National Infrastructure November 2010,1,0.997082043607959,0.9999999999,0,0,1,0.781293227844055,0.195318974669788,,,,,,,,,
What mitigation strategy focuses on detecting and blocking conditions that may lead to software exploits?,"<b>The mitigation strategy that focuses on detecting and blocking conditions that may lead to software exploits is known as ""vulnerability management."" This approach involves identifying, assessing, and prioritizing vulnerabilities in software systems to prevent potential exploits.</b>","['[\'The mitigation strategy that focuses on detecting and blocking conditions that may lead to software exploits is known as ""vulnerability management."" This approach involves identifying\', \'assessing\', \'and prioritizing vulnerabilities in software systems to prevent potential exploits.\']']",Exploit Protection,1,0.995563165396586,0.9999999999,1,0,0.5,0.83304814595856,0.890080218307821,,,,,,,,,
What is the MITRE external ID for 'Exploit Protection'?,<b>The MITRE external ID for 'Exploit Protection' is T1203.</b>,"['[""The MITRE external ID for \'Exploit Protection\' is T1203.""]']",M0950,1,1,0,0,0,1,0.802103070592967,0.200525767648241,,,,,,,,,
Which guideline is associated with Exploit Protection?,"<b>The guideline associated with Exploit Protection is the ""Exploit Protection"" guideline itself.</b>","['[\'The guideline associated with Exploit Protection is the ""Exploit Protection"" guideline itself.\']']",IEC 62443-3-3:2013 - SR 3.2,1,0.984368762755062,0.9999999999,1,0,1,0.745575755423515,0.186376225201875,,,,,,,,,
What mitigation strategy involves preventing access to file shares and remote access to systems?,"<b>The mitigation strategy that involves preventing access to file shares and remote access to systems is known as ""access control."" This strategy focuses on restricting unauthorized users from accessing sensitive data and systems, thereby enhancing security.</b>","['[\'The mitigation strategy that involves preventing access to file shares and remote access to systems is known as ""access control."" This strategy focuses on restricting unauthorized users from accessing sensitive data and systems\', \'thereby enhancing security.\']']",Limit Access to Resource Over Network,1,0.995095869716455,0.9999999999,0.666666666666666,0,0.5,0.786360018333345,0.625192278289756,,,,,,,,,
What is the MITRE external ID for 'Limit Access to Resource Over Network'?,<b>The MITRE external ID for 'Limit Access to Resource Over Network' is M1021.</b>,"['[""The MITRE external ID for \'Limit Access to Resource Over Network\' is M1021.""]']",M0935,1,1,0,0,0,1,0.782311046244917,0.195577761561229,,,,,,,,,
Which guideline is associated with 'Limit Access to Resource Over Network'?,"<b>The guideline associated with 'Limit Access to Resource Over Network' is the ""Access Control"" guideline.</b>","['[\'The guideline associated with \\\'Limit Access to Resource Over Network\\\' is the ""Access Control"" guideline.\']']",IEC 62443-3-3:2013 - SR 5.1,1,0.991708006399766,0.9999999999,0,0,0.5,0.746823230398759,0.186705807599689,,,,,,,,,
What is the purpose of 'Static Network Configuration' in ICS environments?,"<b>The purpose of 'Static Network Configuration' in ICS (Industrial Control Systems) environments is to ensure that network settings, such as IP addresses and subnet masks, are fixed and do not change over time. This stability is crucial for maintaining reliable communication between devices, ensuring that critical systems can consistently connect and interact without the disruptions that can arise from dynamic IP addressing. Static configurations help enhance security, simplify network management, and reduce the risk of miscommunication or downtime in industrial operations.</b>","['[""The purpose of \'Static Network Configuration\' in ICS (Industrial Control Systems) environments is to ensure that network settings"", \'such as IP addresses and subnet masks\', \'are fixed and do not change over time. This stability is crucial for maintaining reliable communication between devices\', \'ensuring that critical systems can consistently connect and interact without the disruptions that can arise from dynamic IP addressing. Static configurations help enhance security\', \'simplify network management\', \'and reduce the risk of miscommunication or downtime in industrial operations.\']']",To configure hosts and devices to use static network configurations to prevent manipulation of network message forwarding and enable AiTM attacks,1,0.999999999999999,0.9999999999,0,0.166666666388888,1,0.850943345420053,0.758190381809558,,,,,,,,,
What is the MITRE external ID for 'Static Network Configuration'?,<b>The MITRE external ID for 'Static Network Configuration' is T1046.</b>,"['[""The MITRE external ID for \'Static Network Configuration\' is T1046.""]']",M0814,1,1,0,0,0,1,0.805467395981472,0.201364618146821,,,,,,,,,
Which guideline is associated with 'Static Network Configuration'?,"<b>The guideline associated with 'Static Network Configuration' is the ""Network Configuration"" guideline.</b>","['[\'The guideline associated with \\\'Static Network Configuration\\\' is the ""Network Configuration"" guideline.\']']",IEC 62443-3-3:2013 - SR 7.7,1,0.985522187501464,0.9999999999,1,0,0.5,0.755124917328907,0.188781229332226,,,,,,,,,
What is the purpose of setting and enforcing secure password policies?,"<b>The purpose of setting and enforcing secure password policies is to enhance the security of systems and data by ensuring that passwords are strong, unique, and regularly updated. This helps to protect against unauthorized access, data breaches, and identity theft. Secure password policies also promote user awareness about the importance of password security and encourage best practices in password management.</b>","[""['The purpose of setting and enforcing secure password policies is to enhance the security of systems and data by ensuring that passwords are strong', 'unique', 'and regularly updated. This helps to protect against unauthorized access', 'data breaches', 'and identity theft. Secure password policies also promote user awareness about the importance of password security and encourage best practices in password management.']""]",To ensure secure access to accounts in ICS environments,1,0.987714301344889,0.9999999999,0,0,1,0.796442662028743,0.199126596788167,,,,,,,,,
What is the MITRE external ID for 'Password Policies'?,<b>The MITRE external ID for 'Password Policies' is M1036.</b>,"['[""The MITRE external ID for \'Password Policies\' is M1036.""]']",M0927,1,0.999999999999999,0,0,0,1,0.775104627955306,0.193776156988826,,,,,,,,,
Which guideline is associated with 'Password Policies'?,<b>The guideline associated with 'Password Policies' is NIST SP 800-53.</b>,"['[""The guideline associated with \'Password Policies\' is NIST SP 800-53.""]']",IEC 62443-3-3:2013 - SR 1.5,1,0.983629212991831,0,0,0,1,0.784849112181695,0.19621801336004,,,,,,,,,
What is the name of the attack pattern that involves blocking a command message?,"<b>The attack pattern that involves blocking a command message is known as ""Command Injection.""</b>","['[\'The attack pattern that involves blocking a command message is known as ""Command Injection.""\']']",Block Command Message,1,0.98175468913599,0.9999999999,0,0,1,0.838563884429848,0.709640971107462,,,,,,,,,
What is the description of the 'Block Command Message' attack pattern?,"<b>The 'Block Command Message' attack pattern involves an adversary attempting to disrupt or prevent the execution of commands or messages within a system. This can be achieved by blocking the communication channels or manipulating the command messages to prevent them from being processed correctly. The goal of this attack is to hinder the normal operation of the system, potentially leading to denial of service or other operational failures.</b>","['[""The \'Block Command Message\' attack pattern involves an adversary attempting to disrupt or prevent the execution of commands or messages within a system. This can be achieved by blocking the communication channels or manipulating the command messages to prevent them from being processed correctly. The goal of this attack is to hinder the normal operation of the system"", \'potentially leading to denial of service or other operational failures.\']']",Adversaries may block a command message from reaching its intended target to prevent command execution.,1,0.988846390821504,0.9999999999,1,0,1,0.890666353366723,0.785166588341681,,,,,,,,,
Which kill chain phase does the 'Block Command Message' attack pattern belong to?,<b>The 'Block Command Message' attack pattern belongs to the 'Command and Control' phase of the kill chain.</b>,"['[""The \'Block Command Message\' attack pattern belongs to the \'Command and Control\' phase of the kill chain.""]']",Inhibit-response-function,1,0.982692151767393,0.9999999999,0,0,1,0.754694931980187,0.188673732995046,,,,,,,,,
What is the external ID for the 'Block Command Message' attack pattern?,<b>The external ID for the 'Block Command Message' attack pattern is T1203.</b>,"['[""The external ID for the \'Block Command Message\' attack pattern is T1203.""]']",T0803,1,1,0,0,0,1,0.801622892053666,0.200405723013416,,,,,,,,,
Which data sources are associated with the 'Block Command Message' attack pattern?,<b>No data sources are associated with the 'Block Command Message' attack pattern.</b>,"['[""No data sources are associated with the \'Block Command Message\' attack pattern.""]']","Process: Process Termination, Operational Databases: Process History/Live Data, Application Log: Application Log Content, Network Traffic: Network Traffic Flow, Operational Databases: Process/Event Alarm",1,0,0,1,0,1,0.733425484149662,0.183356371037415,,,,,,,,,
What is the name of the attack pattern that involves stopping services?,"<b>The attack pattern that involves stopping services is known as ""Service Stop.""</b>","['[\'The attack pattern that involves stopping services is known as ""Service Stop.""\']']",Service Stop,1,0.974419971336458,0.9999999999,1,0.99999999,1,0.846172071848138,0.711543017962034,,,,,,,,,
What is the description of the 'Service Stop' attack pattern?,"<b>The 'Service Stop' attack pattern involves an adversary attempting to disrupt the availability of a service by stopping it. This can be achieved through various means, such as exploiting vulnerabilities, misconfigurations, or using denial-of-service techniques. The goal is to render the service inoperable, affecting users and potentially causing significant operational impact.</b>","['[""The \'Service Stop\' attack pattern involves an adversary attempting to disrupt the availability of a service by stopping it. This can be achieved through various means"", \'such as exploiting vulnerabilities\', \'misconfigurations\', \'or using denial-of-service techniques. The goal is to render the service inoperable\', \'affecting users and potentially causing significant operational impact.\']']",Adversaries may stop or disable services on a system to render those services unavailable to legitimate users.,1,0.986529511460554,0.9999999999,1,0,1,0.882026276105099,0.783006569026275,,,,,,,,,
Which kill chain phase does the 'Service Stop' attack pattern belong to?,<b>The 'Service Stop' attack pattern belongs to the 'Delivery' phase of the kill chain.</b>,"['[""The \'Service Stop\' attack pattern belongs to the \'Delivery\' phase of the kill chain.""]']",Inhibit-response-function,1,0.984030409387903,0.9999999999,1,0,1,0.751389850047014,0.187913960274139,,,,,,,,,
What is the external ID for the 'Service Stop' attack pattern?,<b>The external ID for the 'Service Stop' attack pattern is T1498.</b>,"['[""The external ID for the \'Service Stop\' attack pattern is T1498.""]']",T0881,1,0.999999999999999,0,0,0,1,0.811367101455912,0.202841775363978,,,,,,,,,
Which data sources are associated with the 'Service Stop' attack pattern?,<b>No data sources are associated with the 'Service Stop' attack pattern.</b>,"['[""No data sources are associated with the \'Service Stop\' attack pattern.""]']","File: File Modification, Command: Command Execution, Process: OS API Execution, Process: Process Termination, Service: Service Metadata, Windows Registry: Windows Registry Key Modification, Process: Process Creation",1,0,0,1,0,1,0.734684489495202,0.1836711223738,,,,,,,,,
What is the name of the attack pattern that involves modifying parameters?,"<b>The attack pattern that involves modifying parameters is known as ""Parameter Injection.""</b>","['[\'The attack pattern that involves modifying parameters is known as ""Parameter Injection.""\']']",Modify Parameter,1,0.968072122034881,0.9999999999,0,0,1,0.800163986908322,0.20004099672708,,,,,,,,,
What is the description of the 'Modify Parameter' attack pattern?,"<b>The 'Modify Parameter' attack pattern involves an attacker altering parameters in a request to manipulate the behavior of an application. This can lead to unauthorized actions, data exposure, or other unintended consequences. Attackers may exploit this vulnerability by changing values in URL parameters, form fields, or HTTP headers to gain access to restricted functionalities or to modify data inappropriately.</b>","['[""The \'Modify Parameter\' attack pattern involves an attacker altering parameters in a request to manipulate the behavior of an application. This can lead to unauthorized actions"", \'data exposure\', \'or other unintended consequences. Attackers may exploit this vulnerability by changing values in URL parameters\', \'form fields\', \'or HTTP headers to gain access to restricted functionalities or to modify data inappropriately.\']']",Adversaries may modify parameters used to instruct industrial control system devices.,1,0.957126921775456,0.9999999999,0,0.333333332222222,1,0.825347985258792,0.456328824488448,,,,,,,,,
Which kill chain phase does the 'Modify Parameter' attack pattern belong to?,<b>The 'Modify Parameter' attack pattern belongs to the 'Delivery' phase of the kill chain.</b>,"['[""The \'Modify Parameter\' attack pattern belongs to the \'Delivery\' phase of the kill chain.""]']",Impair-process-control,1,0.978460692626082,0,0,0,1,0.772560429486048,0.193140107371512,,,,,,,,,
What is the external ID for the 'Modify Parameter' attack pattern?,<b>The external ID for the 'Modify Parameter' attack pattern is T1203.</b>,"['[""The external ID for the \'Modify Parameter\' attack pattern is T1203.""]']",T0836,1,1,0,0,0,1,0.803707506774591,0.200926876693647,,,,,,,,,
Which data sources are associated with the 'Modify Parameter' attack pattern?,<b>No data sources are associated with the 'Modify Parameter' attack pattern.</b>,"['[""No data sources are associated with the \'Modify Parameter\' attack pattern.""]']","Asset: Asset Inventory, Application Log: Application Log Content, Operational Databases: Device Alarm, Network Traffic: Network Traffic Content",1,0,0,0,0,1,0.727229012288493,0.181807253072123,,,,,,,,,
What is the name of the attack pattern that involves modifying controller tasking?,"<b>The attack pattern that involves modifying controller tasking is known as ""Manipulation of Control.""</b>","['[\'The attack pattern that involves modifying controller tasking is known as ""Manipulation of Control.""\']']",Modify Controller Tasking,1,0.979673617392011,0.9999999999,0,0,1,0.847656970755499,0.211900377024775,,,,,,,,,
What is the description of the 'Modify Controller Tasking' attack pattern?,"<b>The 'Modify Controller Tasking' attack pattern involves an adversary altering the tasking instructions of a controller, which can lead to unauthorized changes in the operation of the system. This manipulation can result in the controller executing unintended commands or behaviors, potentially compromising the integrity and functionality of the system being controlled.</b>","['[""The \'Modify Controller Tasking\' attack pattern involves an adversary altering the tasking instructions of a controller"", \'which can lead to unauthorized changes in the operation of the system. This manipulation can result in the controller executing unintended commands or behaviors\', \'potentially compromising the integrity and functionality of the system being controlled.\']']",Adversaries may modify the tasking of a controller to allow for the execution of their own programs.,1,0.98374294749376,0.9999999999,1,0,1,0.887929156705604,0.222015742572816,,,,,,,,,
Which kill chain phase does the 'Modify Controller Tasking' attack pattern belong to?,<b>The 'Modify Controller Tasking' attack pattern belongs to the 'Delivery' phase of the kill chain.</b>,"['[""The \'Modify Controller Tasking\' attack pattern belongs to the \'Delivery\' phase of the kill chain.""]']",Execution,1,0.98404704513956,0.9999999999,0,0,1,0.785793371357839,0.196448342839459,,,,,,,,,
What is the external ID for the 'Modify Controller Tasking' attack pattern?,<b>The external ID for the 'Modify Controller Tasking' attack pattern is T1071.</b>,"['[""The external ID for the \'Modify Controller Tasking\' attack pattern is T1071.""]']",T0821,1,1,0,0,0,1,0.813250578445111,0.953312644611277,,,,,,,,,
Which data sources are associated with the 'Modify Controller Tasking' attack pattern?,<b>No data sources are associated with the 'Modify Controller Tasking' attack pattern.</b>,"['[""No data sources are associated with the \'Modify Controller Tasking\' attack pattern.""]']","Application Log: Application Log Content, Operational Databases: Device Alarm, Asset: Software",1,0,0.9999999999,1,0,1,0.74166219393252,0.18541554848313,,,,,,,,,
What is the name of the attack pattern that involves wireless sniffing?,"<b>The attack pattern that involves wireless sniffing is known as ""Wireless Sniffing.""</b>","['[\'The attack pattern that involves wireless sniffing is known as ""Wireless Sniffing.""\']']",Wireless Sniffing,1,0.975012685575051,0.9999999999,1,0.99999999,1,0.908550721728098,0.227137680432024,,,,,,,,,
What is the description of the 'Wireless Sniffing' attack pattern?,"<b>Wireless sniffing is an attack pattern where an attacker intercepts and analyzes wireless network traffic. This can involve capturing data packets transmitted over a wireless network, allowing the attacker to access sensitive information such as passwords, personal data, and other confidential communications. The attack typically exploits vulnerabilities in wireless protocols and can be conducted using specialized software and hardware tools designed for monitoring and analyzing network traffic.</b>","[""['Wireless sniffing is an attack pattern where an attacker intercepts and analyzes wireless network traffic. This can involve capturing data packets transmitted over a wireless network', 'allowing the attacker to access sensitive information such as passwords', 'personal data', 'and other confidential communications. The attack typically exploits vulnerabilities in wireless protocols and can be conducted using specialized software and hardware tools designed for monitoring and analyzing network traffic.']""]",Adversaries may seek to capture radio frequency (RF) communication used for remote control and reporting in distributed environments.,1,0.924713809124363,0.9999999999,0,0,1,0.819489523308937,0.829872380827234,,,,,,,,,
Which kill chain phases does the 'Wireless Sniffing' attack pattern belong to?,<b>The 'Wireless Sniffing' attack pattern belongs to the 'Delivery' and 'Exploitation' phases of the kill chain.</b>,"['[""The \'Wireless Sniffing\' attack pattern belongs to the \'Delivery\' and \'Exploitation\' phases of the kill chain.""]']","Discovery, Collection",0,0.986235997035177,0.9999999999,1,0,1,0.751086097804994,0.187771524451248,,,,,,,,,
What is the external ID for the 'Wireless Sniffing' attack pattern?,<b>The external ID for the 'Wireless Sniffing' attack pattern is not provided in the available information.</b>,"['[""The external ID for the \'Wireless Sniffing\' attack pattern is not provided in the available information.""]']",T0887,1,0,0,0,0,1,0.765841781657459,0.191460445414364,,,,,,,,,
Which data sources are associated with the 'Wireless Sniffing' attack pattern?,<b>No data sources are associated with the 'Wireless Sniffing' attack pattern.</b>,"['[""No data sources are associated with the \'Wireless Sniffing\' attack pattern.""]']",Network Traffic: Network Traffic Flow,1,0,0.9999999999,1,0,1,0.775565959626731,0.193891489906682,,,,,,,,,
What is the name of the attack pattern that involves loss of view?,"<b>The attack pattern that involves loss of view is known as ""Denial of Service.""</b>","['[\'The attack pattern that involves loss of view is known as ""Denial of Service.""\']']",Loss of View,1,0.982073311040537,0.9999999999,0,0,1,0.862415712035283,0.21560392800882,,,,,,,,,
