question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
What is the purpose of 'Static Network Configuration' in ICS environments?,To provide predictable network behavior and minimize risks,"[""['To ensure consistent and secure network settings']""]",To configure hosts and devices to use static network configurations to prevent manipulation of network message forwarding and enable AiTM attacks,0.898861678,0.855779542,0.213944885,,,,,,
What is the MITRE external ID for 'Static Network Configuration'?,Not specifically listed under MITRE IDs,"[""['M1032']""]",M0814,0,0.783583527,0.195895882,,,,,,
Which guideline is associated with 'Static Network Configuration'?,ISA/IEC 62443 Standards,"[""['NIST SP 800-82']""]",IEC 62443-3-3:2013 - SR 7.7,0.792052866,0.896037573,0.224009393,,,,,,
What is the purpose of setting and enforcing secure password policies?,To enhance security by ensuring strong authentication measures,"[""['To prevent unauthorized access and enhance security']""]",To ensure secure access to accounts in ICS environments,0.876984918,0.876897703,0.969244082,,,,,,
What is the MITRE external ID for 'Password Policies'?,T1110,"[""['M1038']""]",M0927,0,0.844958849,0.961239712,,,,,,
Which guideline is associated with 'Password Policies'?,NIST Special Publication 800-63,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 1.5,0.810738206,0.827733153,0.956933288,,,,,,
What is the name of the attack pattern that involves blocking a command message?,Block Command Message,"[""['Block Command Message']""]",Block Command Message,0.866032938,1,0.75,,,,,,
What is the description of the 'Block Command Message' attack pattern?,An attack pattern where command messages are intercepted or blocked to disrupt control,"[""['Blocking the transmission of legitimate command messages']""]",Adversaries may block a command message from reaching its intended target to prevent command execution.,0.912930857,0.89534204,0.47383551,,,,,,
Which kill chain phase does the 'Block Command Message' attack pattern belong to?,Command and Control (C2),"[""['Denial of Service']""]",Inhibit-response-function,0.724236706,0.763486153,0.940871538,,,,,,
What is the external ID for the 'Block Command Message' attack pattern?,CAPEC-639,"[""['T0878']""]",T0803,0.750849375,0.826843251,0.206710813,,,,,,
Which data sources are associated with the 'Block Command Message' attack pattern?,"System logs, network monitoring","[""['Network Traffic', 'System Logs']""]","Process: Process Termination, Operational Databases: Process History/Live Data, Application Log: Application Log Content, Network Traffic: Network Traffic Flow, Operational Databases: Process/Event Alarm",0.804635024,0.839178274,0.209794569,,,,,,
What is the name of the attack pattern that involves stopping services?,Service Stop,"[""['Service Stop']""]",Service Stop,0,1,1,,,,,,
What is the description of the 'Service Stop' attack pattern?,An attack pattern where services are stopped to disrupt system operations,"[""['Terminating or disabling services to cause disruption']""]",Adversaries may stop or disable services on a system to render those services unavailable to legitimate users.,0.916244877,0.877148471,0.594287118,,,,,,
Which kill chain phase does the 'Service Stop' attack pattern belong to?,Delivery,"[""['Denial of Service']""]",Inhibit-response-function,0.823857356,0.768911938,0.942227985,,,,,,
What is the external ID for the 'Service Stop' attack pattern?,CAPEC-645,"[""['T1489']""]",T0881,0,0.824951416,0.206237854,,,,,,
Which data sources are associated with the 'Service Stop' attack pattern?,"System logs, network monitoring","[""['Process Monitoring', 'Service Logs']""]","File: File Modification, Command: Command Execution, Process: OS API Execution, Process: Process Termination, Service: Service Metadata, Windows Registry: Windows Registry Key Modification, Process: Process Creation",0,0.778568307,0.194642077,,,,,,
What is the name of the attack pattern that involves modifying parameters?,Modify Parameter,"[""['Modify Parameter']""]",Modify Parameter,0,1,1,,,,,,
What is the description of the 'Modify Parameter' attack pattern?,An attack pattern that involves changing parameters in a device or system to alter its behavior,"[""['Changing the value of control system parameters']""]",Adversaries may modify parameters used to instruct industrial control system devices.,0.908024522,0.859127236,0.714781809,,,,,,
Which kill chain phase does the 'Modify Parameter' attack pattern belong to?,Installation,"[""['Execution']""]",Impair-process-control,0,0.766371807,0.941592952,,,,,,
What is the external ID for the 'Modify Parameter' attack pattern?,CAPEC-642,"[""['T0831']""]",T0836,0.743186887,0.822722934,0.205634388,,,,,,
Which data sources are associated with the 'Modify Parameter' attack pattern?,"Device configuration files, network traffic monitoring","[""['Device logs', 'Configuration files']""]","Asset: Asset Inventory, Application Log: Application Log Content, Operational Databases: Device Alarm, Network Traffic: Network Traffic Content",0,0.827808511,0.206952128,,,,,,
What is the name of the attack pattern that involves modifying controller tasking?,Modify Controller Tasking,"[""['Modify Controller Tasking']""]",Modify Controller Tasking,0.838212795,1,0.25,,,,,,
What is the description of the 'Modify Controller Tasking' attack pattern?,An attack pattern where the tasking or scheduling of a controller is altered to disrupt processes,"[""['Changing or adding new tasks to a controller']""]",Adversaries may modify the tasking of a controller to allow for the execution of their own programs.,0.915867302,0.874700377,0.218675094,,,,,,
Which kill chain phase does the 'Modify Controller Tasking' attack pattern belong to?,Command and Control,"[""['Execution']""]",Execution,0.750249814,0.819992104,0.954998026,,,,,,
What is the external ID for the 'Modify Controller Tasking' attack pattern?,CAPEC-644,"[""['T0832']""]",T0821,0,0.806436016,0.951609004,,,,,,
Which data sources are associated with the 'Modify Controller Tasking' attack pattern?,"Controller logs, operational data","[""['Device logs', 'Task schedules']""]","Application Log: Application Log Content, Operational Databases: Device Alarm, Asset: Software",0,0.851450515,0.21282573,,,,,,
What is the name of the attack pattern that involves wireless sniffing?,Wireless Sniffing,"[""['Wireless Sniffing']""]",Wireless Sniffing,0.896552316,0.99999652,1,,,,,,
What is the description of the 'Wireless Sniffing' attack pattern?,Capturing wireless communication to intercept data or credentials,"[""['Intercepting and analyzing wireless communications']""]",Adversaries may seek to capture radio frequency (RF) communication used for remote control and reporting in distributed environments.,0.861737868,0.838862722,0.20971568,,,,,,
Which kill chain phases does the 'Wireless Sniffing' attack pattern belong to?,Reconnaissance,"[""['Reconnaissance']""]","Discovery, Collection",0.736863005,0.825768437,0.206442109,,,,,,
What is the external ID for the 'Wireless Sniffing' attack pattern?,CAPEC-650,"[""['T0843']""]",T0887,0,0.823353886,0.955838471,,,,,,
Which data sources are associated with the 'Wireless Sniffing' attack pattern?,Wireless network traffic,"[""['Network traffic', 'Wireless packet captures']""]",Network Traffic: Network Traffic Flow,0.855487045,0.899074992,0.224768748,,,,,,
What is the name of the attack pattern that involves loss of view?,Loss of View,"[""['Loss of View']""]",Loss of View,0,1,1,,,,,,
What is the description of the 'Loss of View' attack pattern?,Disruption of the visibility or monitoring capability within a control system,"[""['Disrupting or disabling the operator’s view of the process']""]","Adversaries may cause a sustained or permanent loss of view where the ICS equipment will require local, hands-on operator intervention.",0.83954246,0.860253824,0.215063456,,,,,,
Which kill chain phase does the 'Loss of View' attack pattern belong to?,Command and Control,"[""['Impact']""]",Impact,0.73137772,0.79169693,0.947924233,,,,,,
What is the external ID for the 'Loss of View' attack pattern?,CAPEC-654,"[""['T0815']""]",T0829,0.743142468,0.822030905,0.205507726,,,,,,
Which external references are associated with the 'Loss of View' attack pattern?,"MITRE ATT&CK, NIST guidelines","[""['NIST SP 800-82', 'IEC 62443']""]","Corero, Michael J. Assante and Robert M. Lee, Tyson Macaulay",0,0.744321779,0.186080445,,,,,,
What is the name of the attack pattern that involves activating firmware update mode?,Activate Firmware Update Mode,"[""['Activate Firmware Update Mode']""]",Activate Firmware Update Mode,0.884202062,0.999997911,1,,,,,,
What is the description of the 'Activate Firmware Update Mode' attack pattern?,Forcing a device to perform firmware updates potentially introducing malicious firmware,"[""['Forcing a device into firmware update mode']""]",Adversaries may activate firmware update mode on devices to prevent expected response functions from engaging in reaction to an emergency or process malfunction.,0.828666392,0.878846218,0.219711554,,,,,,
Which kill chain phase does the 'Activate Firmware Update Mode' attack pattern belong to?,Installation,"[""['Execution']""]",Inhibit-response-function,0,0.733737623,0.933434406,,,,,,
What is the external ID for the 'Activate Firmware Update Mode' attack pattern?,CAPEC-638,"[""['T0825']""]",T0800,0,0.814009049,0.203502262,,,,,,
Which data sources are associated with the 'Activate Firmware Update Mode' attack pattern?,"Firmware logs, device management interfaces","[""['Device logs', 'Firmware update records']""]","Network Traffic: Network Traffic Content, Operational Databases: Device Alarm, Application Log: Application Log Content",0.820424698,0.834949374,0.208737343,,,,,,
What is the name of the attack pattern that involves manipulation of control?,Manipulation of Control,"[""['Manipulation of Control']""]",Manipulation of Control,0,1,0.25,,,,,,
What is the description of the 'Manipulation of Control' attack pattern?,"Altering the control commands to industrial equipment, leading to unintended actions","[""['Altering control logic or command instructions']""]",Adversaries may manipulate physical process control within the industrial environment.,0.790079214,0.869305377,0.217326344,,,,,,
Which kill chain phase does the 'Manipulation of Control' attack pattern belong to?,Command and Control,"[""['Execution']""]",Impact,0,0.79169693,0.947924233,,,,,,
What is the external ID for the 'Manipulation of Control' attack pattern?,CAPEC-641,"[""['T0808']""]",T0831,0.754448381,0.82641946,0.206604865,,,,,,
Which external references are associated with the 'Manipulation of Control' attack pattern?,"MITRE ATT&CK, industrial control system security documents","[""['NIST SP 800-82', 'IEC 62443']""]","Bruce Schneier January 2008, John Bill May 2017, Shelley Smith February 2008",0.825342052,0.781931699,0.19549957,,,,,,
What is the name of the attack pattern that involves denial of service?,Denial of Service (DoS),"[""['Denial of Service']""]",Denial of Service,0.842460621,0.964342474,0.991118741,,,,,,
What is the description of the 'Denial of Service' attack pattern?,A cyber-attack that makes a machine or network resource unavailable to its intended users by temporarily or indefinitely disrupting services of a host connected to the Internet.,"[""['Interrupting or halting services']""]",Adversaries may perform Denial-of-Service (DoS) attacks to disrupt expected device functionality.,0.88388463,0.85785619,0.643035476,,,,,,
Which kill chain phase does the 'Denial of Service' attack pattern belong to?,Exploitation,"[""['Impact']""]",Inhibit-response-function,0,0.75107526,0.937768815,,,,,,
What is the external ID for the 'Denial of Service' attack pattern?,CAPEC-130,"[""['T0810']""]",T0814,0,0.832948765,0.208237191,,,,,,
Which data sources are associated with the 'Denial of Service' attack pattern?,"Network traffic, server logs, application logs","[""['System logs', 'Network traffic']""]","Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Application Log: Application Log Content, Operational Databases: Process History/Live Data",0.846026278,0.906279143,0.226569786,,,,,,
What is the name of the attack pattern that involves blocking serial COM?,Block Serial COM,"[""['Block Serial COM']""]",Block Serial COM,0.837425394,1,1,,,,,,
What is the description of the 'Block Serial COM' attack pattern?,Preventing communication through serial connections by blocking or interfering with the COM port.,"[""['Disabling or blocking serial communication ports']""]",Adversaries may block access to serial COM to prevent instructions or configurations from reaching target devices.,0.808029007,0.923691582,0.605922896,,,,,,
Which kill chain phase does the 'Block Serial COM' attack pattern belong to?,Exploitation,"[""['Impact']""]",Inhibit-response-function,0,0.75107526,0.187768815,,,,,,
What is the external ID for the 'Block Serial COM' attack pattern?,CAPEC-639,"[""['T0816']""]",T0805,0.749795642,0.80669151,0.951672878,,,,,,
Which data sources are associated with the 'Block Serial COM' attack pattern?,"System logs, device monitoring tools","[""['Serial communication logs', 'System logs']""]","Operational Databases: Process/Event Alarm, Network Traffic: Network Traffic Flow, Operational Databases: Process History/Live Data, Application Log: Application Log Content, Process: Process Termination",0.775124987,0.821880159,0.20547004,,,,,,
What is the name of the technique used by adversaries to bypass process and/or signature-based defenses?,Polymorphic Code,"[""['Process Injection']""]",System Binary Proxy Execution,0.831482595,0.765806663,0.191451666,,,,,,
Which technique involves collecting point and tag values to understand the process environment?,Process Monitoring,"[""['Tag Enumeration']""]",Point & Tag Identification,0,0.762850688,0.940712672,,,,,,
What method do adversaries use to gather information about the physical process state?,Sensor monitoring and data acquisition,"[""['Process State Collection']""]",Monitor Process State,0,0.776805938,0.944201484,,,,,,
What technique might adversaries use to forcibly restart or shutdown a device in an ICS environment?,Command Injection,"[""['Device Restart/Shutdown']""]",Device Restart/Shutdown,0.782534844,0.781155854,0.945288963,,,,,,
What is the purpose of the 'System Binary Proxy Execution' technique?,To execute malicious code or commands by leveraging legitimate system binaries to evade detection.,"[""['To execute malicious binaries via trusted system binaries']""]",To proxy execution of malicious content with signed or trusted binaries.,0.820916876,0.903995345,0.600998836,,,,,,
Which technique involves leveraging weaknesses in public-facing applications?,Exploit Public-Facing Application,"[""['Exploit Public-Facing Application']""]",Exploit Public-Facing Application,0.763328206,1,1,,,,,,
What is the potential result of a 'Loss of Protection' in an ICS environment?,Reduced security measures leading to increased vulnerability to attacks.,"[""['Disabling of safety functions and increased risk']""]","Equipment damage, prolonged process disruptions, and hazards to personnel.",0.842088743,0.79185571,0.197963928,,,,,,
Which technique may involve adversaries suppressing protection function alarms?,Alarm Suppression,"[""['Alarm Suppression']""]",Alarm Suppression,0.868781752,1,0.25,,,,,,
What type of device is targeted in the 'Transient Cyber Asset' technique?,Devices temporarily connected to a network such as laptops or mobile devices.,"[""['Portable devices or laptops']""]",Transient assets that are not permanent in the ICS environment.,0.839643663,0.777393196,0.194348299,,,,,,
What is the role of 'Remote System Information Discovery' in adversarial activities?,To gather detailed information about remote systems for further exploitation or attack planning.,"[""['To collect information about remote systems']""]",To get detailed information about remote systems for targeting and shaping follow-on behaviors.,0.847849317,0.908082792,0.727020698,,,,,,
Which technique involves uploading a program from a PLC to gather information?,Program Upload,"[""['Program Upload']""]",Program Upload,0,1,1,,,,,,
How do adversaries use the 'Network Sniffing' technique?,By capturing network traffic to extract valuable data such as credentials and network configurations.,"[""['They capture and analyze network traffic to gather sensitive information.']""]",To gain information about the target by capturing network traffic.,0.921711084,0.925847217,0.831461804,,,,,,
What is the significance of 'Role Identification' in a target control system?,To determine the functions and privileges of different devices and users within a system for targeted attacks.,"[""['Identifying the roles and permissions of users to exploit them for unauthorized access.']""]",To understand the roles of devices within a control process for targeted attacks.,0.806848333,0.905306234,0.726326558,,,,,,
Which technique involves the use of scripting languages to execute arbitrary code?,Scripting,"[""['Scripting']""]",To execute arbitrary code in the form of a pre-written script or user-supplied code.,0.824089407,0.853402827,0.213350707,,,,,,
How might adversaries compromise wireless networks in ICS environments?,Through methods like eavesdropping on unsecured wireless communications or exploiting weak encryption.,"[""['By using techniques such as wireless sniffing and rogue access points.']""]",By using radios and wireless communication devices to gain unauthorized access to a wireless network.,0.838742096,0.929019453,0.232254863,,,,,,
What does 'Change Operating Mode' allow adversaries to do on a controller?,"Alter the operational state of a device, potentially causing it to operate in an unsafe or unintended mode.","[""['It allows them to change the operating state of the controller', 'potentially disrupting processes.']""]",To gain additional access to engineering functions such as Program Download.,0.837053898,0.764821707,0.191205427,,,,,,
Which technique may involve adversaries modifying the I/O image of PLCs?,I/O Image Injection,"[""['Manipulate I/O Image']""]",To prevent PLCs from functioning as expected.,0,0.759469439,0.18985417,,,,,,
What is the goal of 'Exploit Public-Facing Application'?,To exploit vulnerabilities in applications accessible from the internet to gain unauthorized access or cause disruption.,"[""['To gain unauthorized access through vulnerabilities in publicly accessible applications.']""]",To exploit weaknesses in internet-facing software for initial access into an industrial network.,0.897955038,0.919262125,0.829815531,,,,,,
Which technique allows adversaries to monitor process state information?,Process Monitoring,"[""['Monitor Process State']""]",To gather information about the physical process state.,0,0.82925275,0.207313188,,,,,,
Which phase of the kill chain does 'Alarm Suppression' fall under?,Exploitation,"[""['Impact']""]",Inhibit-response-function,0,0.75107526,0.187768815,,,,,,
How can adversaries use 'Command-Line Interface' in ICS environments?,By executing commands directly on a system to manipulate processes or extract information.,"[""['For direct interaction with system software to execute commands.']""]",To interact with systems and execute commands.,0.852740936,0.871976054,0.717994013,,,,,,
What technique involves gathering detailed information about remote systems?,System Information Discovery,"[""['Remote System Information Discovery']""]","To get detailed information about remote systems, such as make/model, role, and configuration.",0.849530336,0.8506513,0.212662825,,,,,,
What is the 'User Execution' technique and how is it used?,Tricking users into executing malicious code through actions like opening a file or clicking a link.,"[""['It involves tricking users into executing malicious code', 'typically via phishing or social engineering.']""]",It involves relying on user interaction for the execution of malicious code.,0.843792096,0.905542231,0.826385558,,,,,,
What is the goal of the 'Detect Operating Mode' technique?,To determine the current operating state of a system to tailor subsequent attacks.,"[""['To determine the current operational state of a system.']""]",To gather information about a PLC's or controller's current operating mode.,0.870577683,0.859018855,0.214795433,,,,,,
How might adversaries use 'Program Upload' in an ICS attack?,To upload malicious or altered programs to control systems to change their behavior.,"[""['To inject malicious programs into control systems', 'altering their behavior.']""]",To gather information about an industrial process by uploading and studying the logic of a PLC program.,0.843575219,0.814160263,0.203542084,,,,,,
What is the potential impact of 'Manipulate I/O Image' on ICS devices?,"Can result in incorrect operation or reporting of industrial processes, leading to physical damage or system disruption.","[""['It can lead to incorrect inputs and outputs', 'causing malfunction or disruption of processes.']""]",To prevent PLCs from functioning as expected.,0.76943918,0.829046386,0.207273234,,,,,,
Which technique involves the use of 'Transient Cyber Assets'?,Transient Cyber Asset Management,"[""['Targeting portable or temporary devices to spread malware or gather information.']""]",To leverage devices that are transient across ICS networks and external networks.,0.842146985,0.79187548,0.19796887,,,,,,
What is the purpose of 'Remote System Information Discovery' in adversarial activities?,"To identify system configurations, installed software, and other critical information for further exploitation.","[""['To identify details about remote systems that can be exploited.']""]",To get detailed information about remote systems for targeting and shaping follow-on behaviors.,0,0.850038906,0.775009726,,,,,,
Which technique involves monitoring process state information?,Process Monitoring,"[""['Monitor Process State']""]",To gather information about the physical process state.,0.898497012,0.82925275,0.957313188,,,,,,
What is the role of 'Wireless Compromise' in ICS attacks?,To exploit wireless networks for unauthorized access or to intercept data.,"[""['To gain unauthorized access or disrupt communication in wireless networks.']""]",To gain unauthorized access to a wireless network and potentially control it.,0.850855346,0.942260429,0.610565107,,,,,,
Which technique might involve suppressing protection function alarms?,Alarm Suppression,"[""['Alarm Suppression']""]",To prevent protection function alarms from notifying operators of critical conditions.,0.866807256,0.839578379,0.209899662,,,,,,
What is the 'Scripting' technique used for?,"To automate tasks that are normally conducted by the user or system administrator, often for malicious purposes.","[""['To automate the execution of commands or scripts for malicious purposes.']""]",To execute arbitrary code in an ICS environment.,0.775292657,0.8150702,0.503791688,,,,,,
How can adversaries use 'Role Identification' in a target control system?,To identify critical roles and target specific accounts or devices for more effective attacks.,"[""['To identify and exploit user roles and permissions.']""]",To understand the roles of devices within a control process for targeted attacks.,0.771590511,0.904547235,0.826136809,,,,,,
What technique involves modifying a controller's operating mode?,Change Operating Mode,"[""['Change Operating Mode']""]",To gain additional access to engineering functions such as Program Download.,0.768452982,0.763242567,0.190810642,,,,,,
Which technique may involve adversaries targeting transient devices in ICS networks?,Transient Cyber Asset Management,"[""['Targeting Transient Cyber Assets']""]",To leverage devices that are transient across ICS networks and external networks.,0.77689855,0.79187548,0.69796887,,,,,,
What is the potential impact of 'Loss of Protection' in ICS environments?,Can lead to critical systems being unprotected and vulnerable to further attacks.,"[""['Disabling safety mechanisms', 'leading to increased risk of damage.']""]","Equipment damage, prolonged process disruptions, and hazards to personnel.",0.819173889,0.816028546,0.204007136,,,,,,
Which technique involves the collection of data from information repositories?,Data Mining,"[""['Automated Collection']""]",To collect data from information repositories containing sensitive ICS information.,0.884596256,0.803370936,0.200842734,,,,,,
What role does 'Exploit Public-Facing Application' play in ICS attacks?,It serves as a method to gain initial access or to cause disruption within an ICS environment.,"[""['It serves as an entry point for adversaries to gain access to critical systems.']""]",To exploit weaknesses in internet-facing software for initial access into an industrial network.,0.838005357,0.864543334,0.858992976,,,,,,
What is the goal of 'Device Restart/Shutdown' in an ICS environment?,To disrupt normal operations by forcibly restarting or shutting down devices.,"[""['To disrupt operations by forcibly restarting or shutting down devices.']""]",To disrupt and potentially negatively impact physical processes.,0.773328657,0.86402845,0.216007112,,,,,,
What is the potential use of 'Command-Line Interface' by adversaries?,"To directly interact with the operating system for executing commands, modifying settings, or accessing restricted areas.","[""['To execute commands directly on target systems', 'often bypassing security controls.']""]",To interact with systems and execute commands.,0.817842658,0.905358892,0.476339723,,,,,,
How do adversaries use 'Alarm Suppression' in ICS environments?,By disabling or altering alarm systems to prevent notifications of malicious activity or system anomalies.,"[""['They disable or modify alarms to avoid detection of their activities.']""]",To prevent protection function alarms from notifying operators of critical conditions.,0.823877696,0.858185334,0.589546333,,,,,,
What is the purpose of the 'Change Operating Mode' technique?,"To alter how devices or systems operate, typically to make them perform in unintended or unauthorized ways.","[""['To alter the state of a control system', 'potentially causing it to operate incorrectly.']""]",To gain additional access to engineering functions such as Program Download.,0.774171222,0.794093315,0.57353152,,,,,,
How can 'Scripting' be used in ICS attacks?,"To automate malicious tasks, spread payloads, or modify configurations without manual intervention.","[""['For automating malicious activities and executing arbitrary code.']""]",To execute arbitrary code in an ICS environment.,0.771319005,0.814108318,0.203544068,,,,,,
What does the 'Monitor Process State' technique involve?,Continuously observing and recording the state of industrial processes to detect anomalies or changes.,"[""['Monitoring system states to gain insights into operations or identify opportunities for disruption.']""]",To gather information about the physical process state.,0.837167841,0.858477824,0.214619456,,,,,,
How might adversaries use 'Program Upload' in ICS environments?,By uploading malicious programs or configurations to industrial control systems to alter their functionality.,"[""['To introduce malicious software or modify system behavior.']""]",To gather information about an industrial process by uploading and studying the logic of a PLC program.,0.793147612,0.823551773,0.580887943,,,,,,
What is the potential impact of 'Wireless Compromise' in ICS environments?,It could allow unauthorized access to network traffic and potentially enable further attacks or data breaches.,"[""['Loss of control or confidentiality in communications.']""]",To gain unauthorized access to a wireless network and potentially control it.,0,0.858823883,0.714705971,,,,,,
How do adversaries use 'Remote System Information Discovery'?,"To collect comprehensive details about remote systems, including software versions and network configurations, for planning targeted attacks.","[""['They gather information on remote systems to plan further attacks.']""]",To get detailed information about remote systems for targeting and shaping follow-on behaviors.,0,0.898263303,0.653137254,,,,,,
What is the goal of 'System Binary Proxy Execution'?,To execute malicious code under the guise of legitimate system processes to evade detection.,"[""['To execute unauthorized code through legitimate system binaries.']""]",To proxy execution of malicious content with signed or trusted binaries.,0,0.88294076,0.22073519,,,,,,
What is the potential impact of 'Loss of Protection' in ICS environments?,"Increased vulnerability due to compromised security controls, leading to higher risks of industrial accidents or attacks.","[""['Increased risk of operational failures or safety incidents.']""]","Equipment damage, prolonged process disruptions, and hazards to personnel.",0.878419097,0.846920573,0.211730143,,,,,,
What is the technique 'Rootkit' described in the MITRE ATT&CK framework?,"A set of software tools that enable unauthorized access and control of a computer system, hiding its presence effectively.","[""['A type of malware designed to hide its presence and gain privileged access to systems.']""]","Adversaries may deploy rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components.",0.909530624,0.87592069,0.218980172,,,,,,
What is the technique 'Automated Collection' described in the MITRE ATT&CK framework?,Involves the use of automated means to identify and collect information about the target.,"[""['Gathering data automatically from various sources without human intervention.']""]",Adversaries may automate collection of industrial environment information using tools or scripts.,0.772906662,0.85761718,0.714404295,,,,,,
What is the technique 'Block Reporting Message' described in the MITRE ATT&CK framework?,Involves blocking or altering the reporting messages within the system to prevent accurate communication.,"[""['Preventing the transmission of status or alert messages from devices.']""]",Adversaries may block or prevent a reporting message from reaching its intended target.,0,0.907175298,0.826793825,,,,,,
What is the technique 'Unauthorized Command Message' described in the MITRE ATT&CK framework?,Involves sending unauthorized command messages to control systems to illicitly manipulate their operations.,"[""['Sending commands that are not authorized or expected by the control system.']""]",Adversaries may send unauthorized command messages to instruct control system assets to perform actions outside of their intended functionality.,0.864436938,0.918063009,0.479515752,,,,,,
What is the technique 'Data Destruction' described in the MITRE ATT&CK framework?,Involves the intentional deletion or corruption of data on a system to disrupt operations or hide activities.,"[""['Deleting or corrupting data to cause disruption or conceal activities.']""]",Adversaries may perform data destruction over the course of an operation.,0.831906274,0.841774595,0.510443649,,,,,,
What is the technique 'Manipulation of View' described in the MITRE ATT&CK framework?,Involves altering what is displayed on operator screens to mislead or confuse the operator about system status.,"[""['Altering what the operator sees to mislead or cause incorrect responses.']""]",Adversaries may attempt to manipulate the information reported back to operators or controllers.,0.794549162,0.855762303,0.713940576,,,,,,
What is the technique 'Data Historian Compromise' described in the MITRE ATT&CK framework?,Involves compromising systems that collect and store historical data about processes for operational analysis.,"[""['Compromising systems that store historical data to manipulate or delete records.']""]",Adversaries may compromise and gain control of a data historian to gain a foothold into the control system environment.,0,0.882703715,0.520675929,,,,,,
What is the technique 'Network Service Scanning' described in the MITRE ATT&CK framework?,Involves scanning the network to identify running services on devices that could be exploited.,"[""['Scanning for open services on a network to identify potential targets.']""]",Network Service Scanning is the process of discovering services on networked systems.,0.771677835,0.892838245,0.823209561,,,,,,
What is the technique 'Indicator Removal on Host' described in the MITRE ATT&CK framework?,Involves deleting or altering artifacts on a host system to obscure the fact that it has been compromised.,"[""['Deleting logs or other indicators to cover the tracks of an attack.']""]",Adversaries may attempt to remove indicators of their presence on a system in an effort to cover their tracks.,0.803816131,0.89105006,0.722747099,,,,,,
What is the technique 'I/O Image' described in the MITRE ATT&CK framework?,Involves altering the input/output data of a system to interfere with operational processes.,"[""['Manipulating input/output images to alter system behavior.']""]",Adversaries may seek to capture process values related to the inputs and outputs of a PLC.,0.781857139,0.837151446,0.209287862,,,,,,
What is the technique 'Denial of View' described in the MITRE ATT&CK framework?,Involves hiding or obscuring important operational information from view to prevent accurate decision-making.,"[""['Disabling or disrupting operator interfaces to prevent monitoring or control.']""]",Adversaries may cause a denial of view in attempt to disrupt and prevent operator oversight on the status of an ICS environment.,0.791500211,0.836079131,0.709019783,,,,,,
What is the technique 'Execution through API' described in the MITRE ATT&CK framework?,Involves using system APIs to execute malicious actions in a way that appears legitimate to system monitors.,"[""['Using API calls to execute commands on a system.']""]",Adversaries may attempt to leverage Application Program Interfaces (APIs) used for communication between control software and the hardware.,0.760657752,0.852261477,0.813065369,,,,,,
What is the technique 'Supply Chain Compromise' described in the MITRE ATT&CK framework?,Involves tampering with components of a supply chain to introduce vulnerabilities or malicious software into products.,"[""['Compromising hardware', 'software', 'or services during the supply chain.']""]","Adversaries may perform supply chain compromise to gain control systems environment access by means of infected products, software, and workflows.",0.864124813,0.901084257,0.725271064,,,,,,
What is the technique 'Serial Connection Enumeration' described in the MITRE ATT&CK framework?,Involves enumerating through serial connections to identify connected devices and their configurations.,"[""['Identifying serial connections to enumerate devices.']""]",Adversaries may perform serial connection enumeration to gather situational awareness after gaining access to devices in the OT network.,0.759712031,0.873543457,0.518385864,,,,,,
What is the technique 'Loss of Safety' described in the MITRE ATT&CK framework?,"Involves compromising systems that manage safety measures, leading to potential hazardous conditions.","[""['Actions that disable or impair safety mechanisms.']""]",Adversaries may compromise safety system functions designed to maintain safe operation of a process when unacceptable or dangerous conditions occur.,0.753587628,0.907574505,0.726893626,,,,,,
What is the technique 'Loss of Productivity and Revenue' described in the MITRE ATT&CK framework?,"Involves attacks that result in operational downtime, reducing productivity and generating financial losses.","[""['Disruptions that result in decreased output and financial loss.']""]",Adversaries may cause loss of productivity and revenue through disruption and even damage to the availability and integrity of control system operations.,0.796687663,0.898536431,0.891300774,,,,,,
What is the technique 'Spearphishing Attachment' described in the MITRE ATT&CK framework?,Involves sending malicious attachments in spearphishing emails to target specific individuals or organizations.,"[""['Sending malicious attachments to users to compromise systems.']""]","Adversaries may use a spearphishing attachment, a variant of spearphishing, as a form of a social engineering attack against specific targets.",0.884941057,0.910143482,0.727502555,,,,,,
What is the technique 'Location Identification' described in the MITRE ATT&CK framework?,Involves using data from network communications or device configurations to determine the physical location of networked systems.,"[""['Determining the physical or network location of a device or user.']""]",Adversaries may perform location identification using device data to inform operations and targeted impact for attacks.,0.811035214,0.857949404,0.714487351,,,,,,
What is the technique 'Autorun Image' described in the MITRE ATT&CK framework?,Involves leveraging the autorun functionality in systems to execute malicious software automatically.,"[""['Using autorun features to execute code automatically when media is inserted.']""]",Adversaries may leverage AutoRun functionality or scripts to execute malicious code.,0.821182528,0.912686162,0.72817154,,,,,,
What is the technique 'Drive-by Compromise' described in the MITRE ATT&CK framework?,Involves infecting a target through vulnerabilities in their web browser by visiting a malicious website.,"[""['Gaining access through a website that exploits vulnerabilities.']""]","Adversaries may gain access to a system during a drive-by compromise, when a user visits a website as part of a regular browsing session.",0.760693788,0.889904111,0.59747006,,,,,,
What is the kill chain phase for the technique named 'Rootkit'?,Installation,"[""['Evasion']""]","Evasion, Inhibit-response-function",0,0.738890997,0.184722749,,,,,,
