question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
What is the role of Access Management technologies in ICS environments?,To control user access to systems and resources,"[""['To control user access to systems and resources']""]","To enforce authorization policies and decisions, especially when field devices do not provide sufficient capabilities to support user identification and authentication",0.870921012132349,0.871982339272446,0.218021442179291,,,,,,
What is the MITRE external ID for 'Access Management'?,M1016,"[""['M1016']""]",M0801,0.764692269320509,0.892764510342975,0.973191127585743,,,,,,
Which document provides guidelines on configuring and managing remote access for industrial control systems?,NIST SP 800-82,"[""['NIST SP 800-82']""]",Centre for the Protection of National Infrastructure November 2010,0.86698190369486,0.788100885067968,0.197025221266992,,,,,,
What mitigation strategy focuses on detecting and blocking conditions that may lead to software exploits?,Exploit Protection,"[""['Exploit Protection']""]",Exploit Protection,0.795394103869843,1,1,,,,,,
What is the MITRE external ID for 'Exploit Protection'?,M1041,"[""['M1041']""]",M0950,0.755752561177117,0.899788715301207,0.974947178825301,,,,,,
Which guideline is associated with Exploit Protection?,NIST SP 800-53,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 3.2,0.792827202821902,0.81216357041999,0.203040892604997,,,,,,
What mitigation strategy involves preventing access to file shares and remote access to systems?,Limit Access to Resource Over Network,"[""['Limit Access to Resource Over Network']""]",Limit Access to Resource Over Network,0.83677265443646,0.999999999999999,0.249999999999999,,,,,,
What is the MITRE external ID for 'Limit Access to Resource Over Network'?,M1035,"[""['M1035']""]",M0935,0.739545890455079,0.928954314553744,0.232236871952488,,,,,,
Which guideline is associated with 'Limit Access to Resource Over Network'?,NIST SP 800-53,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 5.1,0.797241422569309,0.812554218538042,0.953173306302601,,,,,,
What is the purpose of 'Static Network Configuration' in ICS environments?,To ensure consistent and secure network settings,"[""['To ensure consistent and secure network settings']""]",To configure hosts and devices to use static network configurations to prevent manipulation of network message forwarding and enable AiTM attacks,0.844954833816295,0.846109527272747,0.211527381818186,,,,,,
What is the MITRE external ID for 'Static Network Configuration'?,M1032,"[""['M1032']""]",M0814,0.754207616340529,0.893314721155106,0.973329756595142,,,,,,
Which guideline is associated with 'Static Network Configuration'?,NIST SP 800-82,"[""['NIST SP 800-82']""]",IEC 62443-3-3:2013 - SR 7.7,0.798021762172371,0.826771553688251,0.206692888422062,,,,,,
What is the purpose of setting and enforcing secure password policies?,To prevent unauthorized access and enhance security,"[""['To prevent unauthorized access and enhance security']""]",To ensure secure access to accounts in ICS environments,0,0.867900836519976,0.216975209129994,,,,,,
What is the MITRE external ID for 'Password Policies'?,M1038,"[""['M1038']""]",M0927,0.745473572881889,0.893025898683379,0.973256474670844,,,,,,
Which guideline is associated with 'Password Policies'?,NIST SP 800-53,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 1.5,0.802198731824069,0.813275046311566,0.953318761577891,,,,,,
What is the name of the attack pattern that involves blocking a command message?,Block Command Message,"[""['Block Command Message']""]",Block Command Message,0.868811849405611,1,0.25,,,,,,
What is the description of the 'Block Command Message' attack pattern?,Blocking the transmission of legitimate command messages,"[""['Blocking the transmission of legitimate command messages']""]",Adversaries may block a command message from reaching its intended target to prevent command execution.,0.799325305567903,0.894266043798252,0.223566510949563,,,,,,
Which kill chain phase does the 'Block Command Message' attack pattern belong to?,Denial of Service,"[""['Denial of Service']""]",Inhibit-response-function,0.784285642194131,0.761695186957736,0.190423796739434,,,,,,
What is the external ID for the 'Block Command Message' attack pattern?,T0878,"[""['T0878']""]",T0803,0.75039841473182,0.914618183343613,0.978654545835903,,,,,,
Which data sources are associated with the 'Block Command Message' attack pattern?,"Network Traffic, System Logs","[""['Network Traffic', 'System Logs']""]","Process: Process Termination, Operational Databases: Process History/Live Data, Application Log: Application Log Content, Network Traffic: Network Traffic Flow, Operational Databases: Process/Event Alarm",0.85530147826452,0.851881868756939,0.212970467189234,,,,,,
What is the name of the attack pattern that involves stopping services?,Service Stop,"[""['Service Stop']""]",Service Stop,0,1,1,,,,,,
What is the description of the 'Service Stop' attack pattern?,Terminating or disabling services to cause disruption,"[""['Terminating or disabling services to cause disruption']""]",Adversaries may stop or disable services on a system to render those services unavailable to legitimate users.,0.776727605215659,0.891751010152185,0.597937752538046,,,,,,
Which kill chain phase does the 'Service Stop' attack pattern belong to?,Denial of Service,"[""['Denial of Service']""]",Inhibit-response-function,0.810836490683785,0.761695186957736,0.940423796739434,,,,,,
What is the external ID for the 'Service Stop' attack pattern?,T1489,"[""['T1489']""]",T0881,0.744974221382167,0.914473650156436,0.978618412539109,,,,,,
Which data sources are associated with the 'Service Stop' attack pattern?,"Process Monitoring, Service Logs","[""['Process Monitoring', 'Service Logs']""]","File: File Modification, Command: Command Execution, Process: OS API Execution, Process: Process Termination, Service: Service Metadata, Windows Registry: Windows Registry Key Modification, Process: Process Creation",0.783932969707882,0.802377115046797,0.200594278761699,,,,,,
What is the name of the attack pattern that involves modifying parameters?,Modify Parameter,"[""['Modify Parameter']""]",Modify Parameter,0.804390556760321,1,1,,,,,,
What is the description of the 'Modify Parameter' attack pattern?,Changing the value of control system parameters,"[""['Changing the value of control system parameters']""]",Adversaries may modify parameters used to instruct industrial control system devices.,0.740693408065042,0.864894562267348,0.216223640566837,,,,,,
Which kill chain phase does the 'Modify Parameter' attack pattern belong to?,Execution,"[""['Execution']""]",Impair-process-control,0.744437500821696,0.790304422164144,0.947576105541036,,,,,,
What is the external ID for the 'Modify Parameter' attack pattern?,T0831,"[""['T0831']""]",T0836,0,0.981564217263861,0.245391054315965,,,,,,
Which data sources are associated with the 'Modify Parameter' attack pattern?,"Device logs, Configuration files","[""['Device logs', 'Configuration files']""]","Asset: Asset Inventory, Application Log: Application Log Content, Operational Databases: Device Alarm, Network Traffic: Network Traffic Content",0.794191127481166,0.825753949436616,0.206438487359154,,,,,,
What is the name of the attack pattern that involves modifying controller tasking?,Modify Controller Tasking,"[""['Modify Controller Tasking']""]",Modify Controller Tasking,0.83943103838311,0.999997993024366,1,,,,,,
What is the description of the 'Modify Controller Tasking' attack pattern?,Changing or adding new tasks to a controller,"[""['Changing or adding new tasks to a controller']""]",Adversaries may modify the tasking of a controller to allow for the execution of their own programs.,0.848144562956089,0.830387838918752,0.207596959729688,,,,,,
Which kill chain phase does the 'Modify Controller Tasking' attack pattern belong to?,Execution,"[""['Execution']""]",Execution,0.731757152382033,0.999999999999999,0.249999999999999,,,,,,
What is the external ID for the 'Modify Controller Tasking' attack pattern?,T0832,"[""['T0832']""]",T0821,0.742829547844744,0.968154620573204,0.992038655143301,,,,,,
Which data sources are associated with the 'Modify Controller Tasking' attack pattern?,"Device logs, Task schedules","[""['Device logs', 'Task schedules']""]","Application Log: Application Log Content, Operational Databases: Device Alarm, Asset: Software",0,0.84262687125699,0.210656717814247,,,,,,
What is the name of the attack pattern that involves wireless sniffing?,Wireless Sniffing,"[""['Wireless Sniffing']""]",Wireless Sniffing,0.8865665265686,0.999996233687912,0.25,,,,,,
What is the description of the 'Wireless Sniffing' attack pattern?,Intercepting and analyzing wireless communications,"[""['Intercepting and analyzing wireless communications']""]",Adversaries may seek to capture radio frequency (RF) communication used for remote control and reporting in distributed environments.,0.858218416261105,0.849602141033176,0.587400535258294,,,,,,
Which kill chain phases does the 'Wireless Sniffing' attack pattern belong to?,Reconnaissance,"[""['Reconnaissance']""]","Discovery, Collection",0.723409111453428,0.825768437076366,0.206442109269091,,,,,,
What is the external ID for the 'Wireless Sniffing' attack pattern?,T0843,"[""['T0843']""]",T0887,0.733414981411749,0.935962993356428,0.233974948595879,,,,,,
Which data sources are associated with the 'Wireless Sniffing' attack pattern?,"Network traffic, Wireless packet captures","[""['Network traffic', 'Wireless packet captures']""]",Network Traffic: Network Traffic Flow,0.815002378911276,0.878718032367368,0.819679508091842,,,,,,
What is the name of the attack pattern that involves loss of view?,Loss of View,"[""['Loss of View']""]",Loss of View,0,0.999998959814715,0.25,,,,,,
What is the description of the 'Loss of View' attack pattern?,Disrupting or disabling the operatorâ€™s view of the process,"[""['Disrupting or disabling the operatorâ€™s view of the process']""]","Adversaries may cause a sustained or permanent loss of view where the ICS equipment will require local, hands-on operator intervention.",0.803949673102742,0.843474730588365,0.210868682647091,,,,,,
Which kill chain phase does the 'Loss of View' attack pattern belong to?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
What is the external ID for the 'Loss of View' attack pattern?,T0815,"[""['T0815']""]",T0829,0.736271437162193,0.927211339093599,0.981813625396804,,,,,,
Which external references are associated with the 'Loss of View' attack pattern?,"NIST SP 800-82, IEC 62443","[""['NIST SP 800-82', 'IEC 62443']""]","Corero, Michael J. Assante and Robert M. Lee, Tyson Macaulay",0.799587780637394,0.710154093079585,0.177538523269896,,,,,,
What is the name of the attack pattern that involves activating firmware update mode?,Activate Firmware Update Mode,"[""['Activate Firmware Update Mode']""]",Activate Firmware Update Mode,0.884202061720183,1,0.25,,,,,,
What is the description of the 'Activate Firmware Update Mode' attack pattern?,Forcing a device into firmware update mode,"[""['Forcing a device into firmware update mode']""]",Adversaries may activate firmware update mode on devices to prevent expected response functions from engaging in reaction to an emergency or process malfunction.,0.83760078955603,0.886115337432923,0.22152883435823,,,,,,
Which kill chain phase does the 'Activate Firmware Update Mode' attack pattern belong to?,Execution,"[""['Execution']""]",Inhibit-response-function,0.732652478739595,0.786083882153414,0.946520970538353,,,,,,
What is the external ID for the 'Activate Firmware Update Mode' attack pattern?,T0825,"[""['T0825']""]",T0800,0.742838984065519,0.923669123444268,0.980917280861067,,,,,,
Which data sources are associated with the 'Activate Firmware Update Mode' attack pattern?,"Device logs, Firmware update records","[""['Device logs', 'Firmware update records']""]","Network Traffic: Network Traffic Content, Operational Databases: Device Alarm, Application Log: Application Log Content",0.764079306399364,0.824764707094217,0.206191176773554,,,,,,
What is the name of the attack pattern that involves manipulation of control?,Manipulation of Control,"[""['Manipulation of Control']""]",Manipulation of Control,0.748508942780634,1,0.249999570570647,,,,,,
What is the description of the 'Manipulation of Control' attack pattern?,Altering control logic or command instructions,"[""['Altering control logic or command instructions']""]",Adversaries may manipulate physical process control within the industrial environment.,0.838241544932464,0.815772643655338,0.203943160913834,,,,,,
Which kill chain phase does the 'Manipulation of Control' attack pattern belong to?,Execution,"[""['Execution']""]",Impact,0.728034363317377,0.862990508588414,0.965747627147103,,,,,,
What is the external ID for the 'Manipulation of Control' attack pattern?,T0808,"[""['T0808']""]",T0831,0.754026145110745,0.938468736350451,0.234617184087612,,,,,,
Which external references are associated with the 'Manipulation of Control' attack pattern?,"NIST SP 800-82, IEC 62443","[""['NIST SP 800-82', 'IEC 62443']""]","Bruce Schneier January 2008, John Bill May 2017, Shelley Smith February 2008",0.79029429833243,0.782523775765276,0.195630943941319,,,,,,
What is the name of the attack pattern that involves denial of service?,Denial of Service,"[""['Denial of Service']""]",Denial of Service,0.895726720701299,1,0.25,,,,,,
What is the description of the 'Denial of Service' attack pattern?,Interrupting or halting services,"[""['Interrupting or halting services']""]",Adversaries may perform Denial-of-Service (DoS) attacks to disrupt expected device functionality.,0,0.827010424148239,0.206752606037059,,,,,,
Which kill chain phase does the 'Denial of Service' attack pattern belong to?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786178034524059,0.946544508631014,,,,,,
What is the external ID for the 'Denial of Service' attack pattern?,T0810,"[""['T0810']""]",T0814,0.742403037110133,0.967131127723316,0.241782781930829,,,,,,
Which data sources are associated with the 'Denial of Service' attack pattern?,"System logs, Network traffic","[""['System logs', 'Network traffic']""]","Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Application Log: Application Log Content, Operational Databases: Process History/Live Data",0.846680078976023,0.883765665118435,0.435227130565323,,,,,,
What is the name of the attack pattern that involves blocking serial COM?,Block Serial COM,"[""['Block Serial COM']""]",Block Serial COM,0.898798765357415,1,1,,,,,,
What is the description of the 'Block Serial COM' attack pattern?,Disabling or blocking serial communication ports,"[""['Disabling or blocking serial communication ports']""]",Adversaries may block access to serial COM to prevent instructions or configurations from reaching target devices.,0,0.889185392888824,0.222296348222206,,,,,,
Which kill chain phase does the 'Block Serial COM' attack pattern belong to?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786178034524059,0.196440149715059,,,,,,
What is the external ID for the 'Block Serial COM' attack pattern?,T0816,"[""['T0816']""]",T0805,0.737830665376589,0.922891699155308,0.980722924788827,,,,,,
Which data sources are associated with the 'Block Serial COM' attack pattern?,"Serial communication logs, System logs","[""['Serial communication logs', 'System logs']""]","Operational Databases: Process/Event Alarm, Network Traffic: Network Traffic Flow, Operational Databases: Process History/Live Data, Application Log: Application Log Content, Process: Process Termination",0.767212459408713,0.813301925819857,0.203325481454964,,,,,,
What is the name of the technique used by adversaries to bypass process and/or signature-based defenses?,Process Injection,"[""['Process Injection']""]",System Binary Proxy Execution,0.815384312268357,0.802416995721825,0.200604248930456,,,,,,
Which technique involves collecting point and tag values to understand the process environment?,Tag Enumeration,"[""['Tag Enumeration']""]",Point & Tag Identification,0.756010566754857,0.835054687097134,0.958763671774283,,,,,,
What method do adversaries use to gather information about the physical process state?,Process State Collection,"[""['Process State Collection']""]",Monitor Process State,0,0.842272444489984,0.960568111122496,,,,,,
What technique might adversaries use to forcibly restart or shutdown a device in an ICS environment?,Device Restart/Shutdown,"[""['Device Restart/Shutdown']""]",Device Restart/Shutdown,0.86611694518996,1,0.999999680827979,,,,,,
What is the purpose of the 'System Binary Proxy Execution' technique?,To execute malicious binaries via trusted system binaries,"[""['To execute malicious binaries via trusted system binaries']""]",To proxy execution of malicious content with signed or trusted binaries.,0.844747709472169,0.924677209988574,0.731169302497143,,,,,,
Which technique involves leveraging weaknesses in public-facing applications?,Exploit Public-Facing Application,"[""['Exploit Public-Facing Application']""]",Exploit Public-Facing Application,0.763328205601088,0.999998958961293,0.999999742746577,,,,,,
What is the potential result of a 'Loss of Protection' in an ICS environment?,Disabling of safety functions and increased risk,"[""['Disabling of safety functions and increased risk']""]","Equipment damage, prolonged process disruptions, and hazards to personnel.",0.84619351306039,0.802633292027628,0.200658323006907,,,,,,
Which technique may involve adversaries suppressing protection function alarms?,Alarm Suppression,"[""['Alarm Suppression']""]",Alarm Suppression,0.865209522479997,0.999999999999999,0.249999999999999,,,,,,
What type of device is targeted in the 'Transient Cyber Asset' technique?,Portable devices or laptops,"[""['Portable devices or laptops']""]",Transient assets that are not permanent in the ICS environment.,0,0.769547988181133,0.192386997045283,,,,,,
What is the role of 'Remote System Information Discovery' in adversarial activities?,To collect information about remote systems,"[""['To collect information about remote systems']""]",To get detailed information about remote systems for targeting and shaping follow-on behaviors.,0.784231034083315,0.900146989431096,0.225036747357774,,,,,,
Which technique involves uploading a program from a PLC to gather information?,Program Upload,"[""['Program Upload']""]",Program Upload,0,1,1,,,,,,
How do adversaries use the 'Network Sniffing' technique?,They capture and analyze network traffic to gather sensitive information.,"[""['They capture and analyze network traffic to gather sensitive information.']""]",To gain information about the target by capturing network traffic.,0.820856162736549,0.914956832612894,0.871596351010366,,,,,,
What is the significance of 'Role Identification' in a target control system?,Identifying the roles and permissions of users to exploit them for unauthorized access.,"[""['Identifying the roles and permissions of users to exploit them for unauthorized access.']""]",To understand the roles of devices within a control process for targeted attacks.,0.77352762874292,0.846084418578668,0.586521104644667,,,,,,
Which technique involves the use of scripting languages to execute arbitrary code?,Scripting,"[""['Scripting']""]",To execute arbitrary code in the form of a pre-written script or user-supplied code.,0.863179948703823,0.853402826912057,0.213350706728014,,,,,,
How might adversaries compromise wireless networks in ICS environments?,By using techniques such as wireless sniffing and rogue access points.,"[""['By using techniques such as wireless sniffing and rogue access points.']""]",By using radios and wireless communication devices to gain unauthorized access to a wireless network.,0,0.926163082796641,0.23154077069916,,,,,,
What does 'Change Operating Mode' allow adversaries to do on a controller?,"It allows them to change the operating state of the controller, potentially disrupting processes.","[""['It allows them to change the operating state of the controller', 'potentially disrupting processes.']""]",To gain additional access to engineering functions such as Program Download.,0.811441290030155,0.784093475681876,0.196023368920469,,,,,,
Which technique may involve adversaries modifying the I/O image of PLCs?,Manipulate I/O Image,"[""['Manipulate I/O Image']""]",To prevent PLCs from functioning as expected.,0.851099923341374,0.736267064922172,0.184066766230543,,,,,,
What is the goal of 'Exploit Public-Facing Application'?,To gain unauthorized access through vulnerabilities in publicly accessible applications.,"[""['To gain unauthorized access through vulnerabilities in publicly accessible applications.']""]",To exploit weaknesses in internet-facing software for initial access into an industrial network.,0.860503886685092,0.91398909200265,0.603497273000662,,,,,,
Which technique allows adversaries to monitor process state information?,Monitor Process State,"[""['Monitor Process State']""]",To gather information about the physical process state.,0.769894241095054,0.822429602720324,0.205607400680081,,,,,,
Which phase of the kill chain does 'Alarm Suppression' fall under?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786178034524059,0.196544508631014,,,,,,
How can adversaries use 'Command-Line Interface' in ICS environments?,For direct interaction with system software to execute commands.,"[""['For direct interaction with system software to execute commands.']""]",To interact with systems and execute commands.,0.861736979900429,0.934622983206593,0.733655745801648,,,,,,
What technique involves gathering detailed information about remote systems?,Remote System Information Discovery,"[""['Remote System Information Discovery']""]","To get detailed information about remote systems, such as make/model, role, and configuration.",0.918900990368055,0.883314087584905,0.220835965797293,,,,,,
What is the 'User Execution' technique and how is it used?,"It involves tricking users into executing malicious code, typically via phishing or social engineering.","[""['It involves tricking users into executing malicious code', 'typically via phishing or social engineering.']""]",It involves relying on user interaction for the execution of malicious code.,0.815310442186704,0.909397160265023,0.727349290066255,,,,,,
What is the goal of the 'Detect Operating Mode' technique?,To determine the current operational state of a system.,"[""['To determine the current operational state of a system.']""]",To gather information about a PLC's or controller's current operating mode.,0,0.897354117668437,0.599319820366985,,,,,,
How might adversaries use 'Program Upload' in an ICS attack?,"To inject malicious programs into control systems, altering their behavior.","[""['To inject malicious programs into control systems', 'altering their behavior.']""]",To gather information about an industrial process by uploading and studying the logic of a PLC program.,0.810421592130392,0.793602982888858,0.498400745722214,,,,,,
What is the potential impact of 'Manipulate I/O Image' on ICS devices?,"It can lead to incorrect inputs and outputs, causing malfunction or disruption of processes.","[""['It can lead to incorrect inputs and outputs', 'causing malfunction or disruption of processes.']""]",To prevent PLCs from functioning as expected.,0.778133414717869,0.814761902517891,0.203690475629472,,,,,,
Which technique involves the use of 'Transient Cyber Assets'?,Targeting portable or temporary devices to spread malware or gather information.,"[""['Targeting portable or temporary devices to spread malware or gather information.']""]",To leverage devices that are transient across ICS networks and external networks.,0.845832266517227,0.846581535601616,0.586645383900404,,,,,,
What is the purpose of 'Remote System Information Discovery' in adversarial activities?,To identify details about remote systems that can be exploited.,"[""['To identify details about remote systems that can be exploited.']""]",To get detailed information about remote systems for targeting and shaping follow-on behaviors.,0.796822056865896,0.901033085380929,0.600258271345232,,,,,,
Which technique involves monitoring process state information?,Monitor Process State,"[""['Monitor Process State']""]",To gather information about the physical process state.,0.7743302568609,0.822515635198935,0.205607400680081,,,,,,
What is the role of 'Wireless Compromise' in ICS attacks?,To gain unauthorized access or disrupt communication in wireless networks.,"[""['To gain unauthorized access or disrupt communication in wireless networks.']""]",To gain unauthorized access to a wireless network and potentially control it.,0.830271474552642,0.953996869063521,0.61349921726588,,,,,,
Which technique might involve suppressing protection function alarms?,Alarm Suppression,"[""['Alarm Suppression']""]",To prevent protection function alarms from notifying operators of critical conditions.,0.819062883132112,0.839598649684885,0.209899662421221,,,,,,
What is the 'Scripting' technique used for?,To automate the execution of commands or scripts for malicious purposes.,"[""['To automate the execution of commands or scripts for malicious purposes.']""]",To execute arbitrary code in an ICS environment.,0.846443999396672,0.8279935727752,0.2069983931938,,,,,,
How can adversaries use 'Role Identification' in a target control system?,To identify and exploit user roles and permissions.,"[""['To identify and exploit user roles and permissions.']""]",To understand the roles of devices within a control process for targeted attacks.,0.788332339629095,0.826884225854283,0.806721056463571,,,,,,
What technique involves modifying a controller's operating mode?,Change Operating Mode,"[""['Change Operating Mode']""]",To gain additional access to engineering functions such as Program Download.,0.783250957226817,0.76324256662435,0.190810641656087,,,,,,
Which technique may involve adversaries targeting transient devices in ICS networks?,Targeting Transient Cyber Assets,"[""['Targeting Transient Cyber Assets']""]",To leverage devices that are transient across ICS networks and external networks.,0.782188989925552,0.816553313233243,0.20413832830831,,,,,,
What is the potential impact of 'Loss of Protection' in ICS environments?,"Disabling safety mechanisms, leading to increased risk of damage.","[""['Disabling safety mechanisms', 'leading to increased risk of damage.']""]","Equipment damage, prolonged process disruptions, and hazards to personnel.",0.816985779086156,0.828508276842434,0.207141777736817,,,,,,
Which technique involves the collection of data from information repositories?,Automated Collection,"[""['Automated Collection']""]",To collect data from information repositories containing sensitive ICS information.,0.789133294914067,0.790618436120886,0.197654609030221,,,,,,
What role does 'Exploit Public-Facing Application' play in ICS attacks?,It serves as an entry point for adversaries to gain access to critical systems.,"[""['It serves as an entry point for adversaries to gain access to critical systems.']""]",To exploit weaknesses in internet-facing software for initial access into an industrial network.,0.829742522175987,0.888240815489864,0.972060203872466,,,,,,
What is the goal of 'Device Restart/Shutdown' in an ICS environment?,To disrupt operations by forcibly restarting or shutting down devices.,"[""['To disrupt operations by forcibly restarting or shutting down devices.']""]",To disrupt and potentially negatively impact physical processes.,0.817772115169251,0.859571415511373,0.589892853877843,,,,,,
What is the potential use of 'Command-Line Interface' by adversaries?,"To execute commands directly on target systems, often bypassing security controls.","[""['To execute commands directly on target systems', 'often bypassing security controls.']""]",To interact with systems and execute commands.,0.816677375978537,0.865651969858003,0.716393051029666,,,,,,
How do adversaries use 'Alarm Suppression' in ICS environments?,They disable or modify alarms to avoid detection of their activities.,"[""['They disable or modify alarms to avoid detection of their activities.']""]",To prevent protection function alarms from notifying operators of critical conditions.,0.788429341753669,0.84588495603111,0.811471239007777,,,,,,
What is the purpose of the 'Change Operating Mode' technique?,"To alter the state of a control system, potentially causing it to operate incorrectly.","[""['To alter the state of a control system', 'potentially causing it to operate incorrectly.']""]",To gain additional access to engineering functions such as Program Download.,0.798975321542212,0.771391241331982,0.192847810332995,,,,,,
How can 'Scripting' be used in ICS attacks?,For automating malicious activities and executing arbitrary code.,"[""['For automating malicious activities and executing arbitrary code.']""]",To execute arbitrary code in an ICS environment.,0,0.864350030692583,0.716087507673145,,,,,,
What does the 'Monitor Process State' technique involve?,Monitoring system states to gain insights into operations or identify opportunities for disruption.,"[""['Monitoring system states to gain insights into operations or identify opportunities for disruption.']""]",To gather information about the physical process state.,0,0.849027594211408,0.212256898552852,,,,,,
How might adversaries use 'Program Upload' in ICS environments?,To introduce malicious software or modify system behavior.,"[""['To introduce malicious software or modify system behavior.']""]",To gather information about an industrial process by uploading and studying the logic of a PLC program.,0.769006974082576,0.778529141096677,0.194632285274169,,,,,,
What is the potential impact of 'Wireless Compromise' in ICS environments?,Loss of control or confidentiality in communications.,"[""['Loss of control or confidentiality in communications.']""]",To gain unauthorized access to a wireless network and potentially control it.,0.810583295523705,0.807305752789706,0.201833420722025,,,,,,
How do adversaries use 'Remote System Information Discovery'?,They gather information on remote systems to plan further attacks.,"[""['They gather information on remote systems to plan further attacks.']""]",To get detailed information about remote systems for targeting and shaping follow-on behaviors.,0.785594634352925,0.883371403828765,0.720830727713598,,,,,,
What is the goal of 'System Binary Proxy Execution'?,To execute unauthorized code through legitimate system binaries.,"[""['To execute unauthorized code through legitimate system binaries.']""]",To proxy execution of malicious content with signed or trusted binaries.,0.847606711577127,0.893961647946144,0.223490411986536,,,,,,
What is the potential impact of 'Loss of Protection' in ICS environments?,Increased risk of operational failures or safety incidents.,"[""['Increased risk of operational failures or safety incidents.']""]","Equipment damage, prolonged process disruptions, and hazards to personnel.",0.830511139130332,0.85934874572803,0.214826395680079,,,,,,
What is the technique 'Rootkit' described in the MITRE ATT&CK framework?,A type of malware designed to hide its presence and gain privileged access to systems.,"[""['A type of malware designed to hide its presence and gain privileged access to systems.']""]","Adversaries may deploy rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components.",0.909530624045824,0.86618216966246,0.516545542415615,,,,,,
What is the technique 'Automated Collection' described in the MITRE ATT&CK framework?,Gathering data automatically from various sources without human intervention.,"[""['Gathering data automatically from various sources without human intervention.']""]",Adversaries may automate collection of industrial environment information using tools or scripts.,0.808111112806915,0.846249598689264,0.961562399672316,,,,,,
What is the technique 'Block Reporting Message' described in the MITRE ATT&CK framework?,Preventing the transmission of status or alert messages from devices.,"[""['Preventing the transmission of status or alert messages from devices.']""]",Adversaries may block or prevent a reporting message from reaching its intended target.,0,0.834618580744389,0.583654645186097,,,,,,
What is the technique 'Unauthorized Command Message' described in the MITRE ATT&CK framework?,Sending commands that are not authorized or expected by the control system.,"[""['Sending commands that are not authorized or expected by the control system.']""]",Adversaries may send unauthorized command messages to instruct control system assets to perform actions outside of their intended functionality.,0.784681681727701,0.903346287316741,0.600836571829185,,,,,,
What is the technique 'Data Destruction' described in the MITRE ATT&CK framework?,Deleting or corrupting data to cause disruption or conceal activities.,"[""['Deleting or corrupting data to cause disruption or conceal activities.']""]",Adversaries may perform data destruction over the course of an operation.,0.812998669815627,0.850725302496526,0.812685780925142,,,,,,
What is the technique 'Manipulation of View' described in the MITRE ATT&CK framework?,Altering what the operator sees to mislead or cause incorrect responses.,"[""['Altering what the operator sees to mislead or cause incorrect responses.']""]",Adversaries may attempt to manipulate the information reported back to operators or controllers.,0.794313534572775,0.866991610120811,0.716747902530202,,,,,,
What is the technique 'Data Historian Compromise' described in the MITRE ATT&CK framework?,Compromising systems that store historical data to manipulate or delete records.,"[""['Compromising systems that store historical data to manipulate or delete records.']""]",Adversaries may compromise and gain control of a data historian to gain a foothold into the control system environment.,0.818485621351677,0.883412489764342,0.720835529870191,,,,,,
What is the technique 'Network Service Scanning' described in the MITRE ATT&CK framework?,Scanning for open services on a network to identify potential targets.,"[""['Scanning for open services on a network to identify potential targets.']""]",Network Service Scanning is the process of discovering services on networked systems.,0.867354554627699,0.920540992265147,0.730136935572635,,,,,,
What is the technique 'Indicator Removal on Host' described in the MITRE ATT&CK framework?,Deleting logs or other indicators to cover the tracks of an attack.,"[""['Deleting logs or other indicators to cover the tracks of an attack.']""]",Adversaries may attempt to remove indicators of their presence on a system in an effort to cover their tracks.,0.828655632307319,0.892196896248475,0.598049224062118,,,,,,
What is the technique 'I/O Image' described in the MITRE ATT&CK framework?,Manipulating input/output images to alter system behavior.,"[""['Manipulating input/output images to alter system behavior.']""]",Adversaries may seek to capture process values related to the inputs and outputs of a PLC.,0.824297402789435,0.820473980094431,0.205118495023607,,,,,,
What is the technique 'Denial of View' described in the MITRE ATT&CK framework?,Disabling or disrupting operator interfaces to prevent monitoring or control.,"[""['Disabling or disrupting operator interfaces to prevent monitoring or control.']""]",Adversaries may cause a denial of view in attempt to disrupt and prevent operator oversight on the status of an ICS environment.,0.813466443359842,0.866882511058704,0.71671136269837,,,,,,
What is the technique 'Execution through API' described in the MITRE ATT&CK framework?,Using API calls to execute commands on a system.,"[""['Using API calls to execute commands on a system.']""]",Adversaries may attempt to leverage Application Program Interfaces (APIs) used for communication between control software and the hardware.,0.82172546785578,0.840922658705652,0.210225631505215,,,,,,
What is the technique 'Supply Chain Compromise' described in the MITRE ATT&CK framework?,"Compromising hardware, software, or services during the supply chain.","[""['Compromising hardware', 'software', 'or services during the supply chain.']""]","Adversaries may perform supply chain compromise to gain control systems environment access by means of infected products, software, and workflows.",0.823054758490926,0.885932555693492,0.821483138923373,,,,,,
What is the technique 'Serial Connection Enumeration' described in the MITRE ATT&CK framework?,Identifying serial connections to enumerate devices.,"[""['Identifying serial connections to enumerate devices.']""]",Adversaries may perform serial connection enumeration to gather situational awareness after gaining access to devices in the OT network.,0.871323051321138,0.857814728112091,0.714453682028022,,,,,,
